cust_id;model1;model2;boughtItemsTotal;itemOneTotal;itemTwoTotal;itemThreeTotal;Visits2014;itemOneTotal2014;itemTwoTotal2014;itemThreeTotal2014;Visits2013;itemOneTotal2013;itemTwoTotal2013;itemThreeTotal2013;boughtItem_03;boughtItem_02;boughtItem_01;date_lastVisit;daysSinceVisit;boughtItem;numVisitsL1M;numVisitsL3M;numVisitsL6M;numVisits_trendL3M;fractionItemOneL1M;fractionItemOneTwoThreeL1M;fractionItemOneL3M;fractionItemOneTwoThreeL3M;fractionItemOneL6M;fractionItemOneTwoThreeL6M;numItemOne_trendL3M
542;5;165;41;5;7;10;9;3;2;1;14;1;3;2;1;6;1;140723;14;0;3;7;10;2.333333333;0.666666667;0.666666667;0.285714286;0.571428571;0.3;0.6;0.952380952
543;13;89;45;3;9;8;13;2;2;3;16;0;3;3;1;2;6;140726;11;2;2;5;10;1;0;0.5;0.2;0.4;0.1;0.4;2
544;6;102;38;3;5;5;8;0;0;0;20;2;3;3;0;d;6;140730;7;3;2;5;8;1.666666667;0;0;0;0;0;0;0
545;17;47;55;7;6;10;11;0;2;2;14;3;0;2;0;0;2;140727;10;1;1;6;8;3;0;1;0;0.5;0;0.5;0
546;4;270;45;6;7;5;11;1;2;1;18;4;3;3;0;2;6;140723;14;0;2;5;9;1.25;0;0.5;0;0.2;0.111111111;0.444444444;0
547;0;999;131;11;13;13;9;0;1;1;22;0;1;3;0;2;0;140728;9;0;2;4;8;1;0;0.5;0;0.25;0;0.25;0
548;3;509;14;0;1;0;9;0;0;0;5;0;1;0;d;0;4;140717;20;0;1;5;7;2.5;0;0;0;0;0;0;0
549;7;214;37;12;6;1;5;1;1;0;9;2;3;1;1;0;str;140719;18;6;1;4;6;2;0;0;0.25;0.25;0.166666667;0.333333333;1.5
550;1;504;62;8;6;4;9;2;1;0;23;1;4;1;4;4;4;140721;16;4;1;1;6;0.2;0;0;0;0;0;0.166666667;0
551;0;999;55;11;8;4;6;0;1;0;2;0;0;0;2;7;0;140723;14;0;2;6;7;6;0;0;0;0.166666667;0;0.142857143;0
552;9;73;27;7;7;0;9;2;2;0;15;4;4;0;0;1;2;140714;23;5;1;2;9;0.285714286;0;1;0.5;1;0.222222222;0.444444444;2.25
553;21;47;35;4;3;5;14;2;0;3;17;2;2;1;1;1;0;140719;18;1;1;7;13;1.166666667;0;0;0.285714286;0.428571429;0.153846154;0.384615385;1.857142857
554;5;141;19;5;1;2;12;3;1;2;7;2;0;0;3;1;0;140720;17;0;2;6;10;1.5;0.5;0.5;0.166666667;0.5;0.2;0.5;0.833333333
555;10;64;30;2;2;3;10;2;1;1;8;0;0;2;1;d;d;140729;8;0;1;5;12;0.714285714;0;0;0.4;0.6;0.166666667;0.333333333;2.4
556;6;193;8;4;0;2;6;3;0;1;2;1;0;1;0;3;1;140721;16;0;1;2;5;0.666666667;1;1;0.5;1;0.6;0.8;0.833333333
557;3;305;18;3;1;2;10;2;1;0;8;1;0;2;0;5;1;140715;22;0;1;4;8;1;1;1;0.25;0.25;0.25;0.25;1
558;24;33;11;2;3;0;7;2;2;0;4;0;1;0;d;2;0;140720;17;2;2;6;7;6;0;0.5;0.333333333;0.666666667;0.285714286;0.571428571;1.166666667
559;1;275;19;4;1;3;3;0;0;0;10;4;1;2;0;0;0;140612;55;4;0;3;3;0;0;0;0;0;0;0;0
560;18;37;19;3;5;2;8;2;2;0;11;1;3;2;4;2;0;140727;10;6;1;5;8;1.666666667;0;0;0;0.4;0.25;0.5;0
561;0;999;41;8;4;2;12;1;0;1;17;1;3;0;0;6;0;140720;17;0;1;5;9;1.25;0;0;0.2;0.2;0.111111111;0.222222222;1.8
562;1;565;42;7;6;2;6;0;0;0;23;4;4;2;0;0;0;140730;7;0;2;6;6;0;0;0;0;0;0;0;0
563;61;15;30;10;6;1;7;2;0;0;12;3;3;0;0;1;1;140726;11;2;2;6;7;6;1;1;0.333333333;0.333333333;0.285714286;0.285714286;1.166666667
564;4;124;39;11;3;5;7;1;0;1;16;4;1;3;0;4;1;140722;15;3;2;5;7;2.5;0.5;0.5;0.2;0.4;0.142857143;0.285714286;1.4
565;13;61;33;11;2;5;8;5;1;1;13;4;0;2;1;3;1;140719;18;4;2;5;9;1.25;0.5;1;0.4;0.8;0.555555556;0.777777778;0.72
566;17;39;27;12;6;0;10;4;0;0;10;4;4;0;5;d;1;140718;19;1;1;4;8;1;1;1;0.25;0.25;0.5;0.5;0.5
567;0;464;42;3;4;5;12;1;0;1;15;1;2;2;0;0;3;140722;15;0;2;6;12;1;0;0.5;0;0.166666667;0.083333333;0.166666667;0
568;4;129;21;10;4;1;3;1;1;0;14;7;3;1;str;1;2;140719;18;5;1;2;4;1;0;1;0.5;1;0.25;0.5;2
569;2;275;21;2;3;3;9;1;2;1;12;1;1;2;5;2;0;140729;8;0;2;6;6;0;0;0.5;0.166666667;0.5;0.166666667;0.5;1
570;0;820;24;4;2;1;5;1;0;0;17;3;2;1;1;d;0;140725;12;0;1;4;7;1.333333333;0;0;0.25;0.25;0.142857143;0.142857143;1.75
571;10;73;13;2;2;1;4;0;0;0;9;2;2;1;5;0;0;140712;25;2;1;4;4;0;0;0;0;0;0;0;0
572;3;166;16;3;1;1;6;2;0;1;9;1;1;0;str;0;5;140719;18;6;2;6;7;6;0;0;0.333333333;0.333333333;0.285714286;0.428571429;1.166666667
573;54;18;17;6;3;1;9;3;2;1;8;3;1;0;0;2;2;140720;17;1;1;3;8;0.6;0;1;0;0.666666667;0.375;0.75;0
574;4;162;23;4;3;1;9;2;1;0;14;2;2;1;1;4;1;140720;17;4;1;4;8;1;1;1;0.5;0.5;0.25;0.375;2
575;13;73;4;3;0;0;2;1;0;0;2;2;0;0;1;5;1;140720;17;0;1;2;2;0;1;1;0.5;0.5;0.5;0.5;1
576;1;572;26;2;2;3;15;1;1;2;9;1;0;1;5;4;4;140720;17;0;2;6;13;0.857142857;0;0;0;0.166666667;0.076923077;0.230769231;0
577;4;130;11;4;4;1;10;4;4;1;1;0;0;0;3;1;2;140710;27;0;1;3;8;0.6;0;1;0.333333333;1;0.375;0.875;0.888888889
578;3;239;16;5;1;4;10;3;1;2;6;2;0;2;0;0;3;140719;18;5;2;3;8;0.6;0;0.5;0;0.333333333;0.375;0.75;0
579;0;808;17;2;2;3;11;1;2;2;6;1;0;1;6;2;6;140709;28;0;1;4;8;1;0;0;0;0.5;0;0.5;0
580;10;93;18;5;2;3;7;2;1;0;11;3;1;3;d;1;d;140719;18;5;1;3;7;0.75;0;0;0.333333333;0.333333333;0.285714286;0.428571429;1.166666667
581;7;98;36;19;4;3;4;0;1;0;14;6;2;3;6;2;0;140720;17;6;2;4;4;0;0;0.5;0;0.25;0;0.25;0
582;1;994;21;1;1;5;7;0;0;1;14;1;1;4;5;3;6;140711;26;0;1;5;7;2.5;0;0;0;0.2;0;0.142857143;0
583;2;356;24;2;4;5;12;1;2;2;12;1;2;3;d;6;3;140720;17;0;2;5;11;0.833333333;0;0.5;0;0.4;0.090909091;0.454545455;0
584;44;20;21;8;2;4;7;3;1;0;14;5;1;4;1;1;6;140711;26;3;1;5;7;2.5;0;0;0.6;0.8;0.428571429;0.571428571;1.4
585;7;112;19;3;3;4;8;0;1;2;11;3;2;2;2;5;5;140711;26;4;1;5;8;1.666666667;0;0;0;0.4;0;0.375;0
586;1;366;38;6;7;2;12;0;2;0;20;5;3;2;5;4;5;140730;7;0;2;5;10;1;0;0;0;0;0;0.2;0
587;5;131;10;5;2;1;3;2;0;0;7;3;2;1;0;1;1;140712;25;0;1;3;3;0;1;1;0.666666667;0.666666667;0.666666667;0.666666667;1
588;20;39;16;9;2;2;5;1;1;1;11;8;1;1;5;1;4;140720;17;1;2;5;6;5;0.5;0.5;0.2;0.6;0.166666667;0.5;1.2
589;3;150;24;5;6;3;10;2;3;1;7;0;2;2;4;str;0;140702;35;2;0;3;9;0.5;0;0;0;0;0.222222222;0.444444444;0
590;30;31;36;8;7;5;16;4;5;1;14;4;0;2;1;1;5;140802;11;1;4;7;13;1.166666667;0.5;0.5;0.428571429;0.571428571;0.230769231;0.692307692;1.857142857
591;9;95;31;6;3;9;9;1;0;4;9;1;2;1;3;0;4;140805;8;0;3;7;10;2.333333333;0;0.333333333;0.142857143;0.571428571;0.1;0.5;1.428571429
592;6;196;38;9;6;2;10;2;2;0;13;4;1;0;4;str;0;140730;14;6;1;4;7;1.333333333;0;0;0;0.25;0.285714286;0.428571429;0
593;15;63;20;6;0;1;10;4;0;0;8;2;0;0;5;0;0;140703;41;0;0;4;9;0.8;0;0;0;0;0.333333333;0.333333333;0
594;4;189;37;8;5;4;12;3;2;0;8;0;1;1;2;0;4;140806;7;0;3;6;12;1;0;0.333333333;0.166666667;0.5;0.25;0.416666667;0.666666667
595;8;97;39;11;3;4;12;4;0;1;3;0;0;0;5;4;d;140802;11;5;2;5;10;1;0;0;0.4;0.4;0.4;0.4;1
596;0;695;74;10;6;10;12;0;1;3;18;4;4;2;0;3;3;140805;8;4;2;4;9;0.8;0;1;0;0.75;0;0.444444444;0
597;20;33;28;9;1;2;4;2;0;0;18;7;1;0;0;1;1;140729;15;d;2;2;2;0;1;1;1;1;1;1;1
598;21;41;39;7;5;8;12;2;2;4;18;5;1;3;d;5;4;140705;39;0;0;4;8;1;0;0;0;0.25;0.125;0.5;0
599;25;50;61;11;9;8;11;2;0;2;17;0;3;4;3;1;0;140720;24;5;1;4;9;0.8;0;0;0.5;0.75;0.222222222;0.444444444;2.25
600;7;92;39;3;5;6;9;0;0;1;20;2;3;3;d;6;3;140806;7;4;3;6;9;2;0;0.333333333;0;0.166666667;0;0.111111111;0
601;3;226;86;7;14;9;14;0;2;3;20;3;1;2;3;3;4;140728;16;3;2;6;12;1;0;0.5;0;0.333333333;0;0.333333333;0
602;2;330;43;3;4;5;13;1;0;1;15;1;2;2;0;3;0;140806;7;0;2;7;13;1.166666667;0;0.5;0;0.142857143;0.076923077;0.153846154;0
603;6;192;60;8;6;10;15;1;2;1;17;2;0;6;4;0;6;140802;11;2;2;6;12;1;0;0;0;0;0.083333333;0.25;0
604;33;20;43;13;9;3;8;0;3;0;23;8;3;3;2;d;d;140629;45;1;0;3;4;3;0;0;0;0.333333333;0;0.25;0
605;0;518;138;10;12;15;20;0;2;2;24;1;3;2;4;3;5;140730;14;d;2;9;18;1;0;0.5;0;0.222222222;0;0.166666667;0
606;3;188;82;9;10;11;9;0;1;2;17;2;2;2;5;0;0;140802;11;6;2;6;9;2;0;0;0;0.333333333;0;0.333333333;0
607;0;999;156;15;14;22;13;1;0;3;21;3;3;2;4;0;1;140731;13;0;1;5;12;0.714285714;1;1;0.2;0.4;0.083333333;0.333333333;2.4
608;11;52;29;7;4;1;12;1;2;0;9;2;1;0;4;2;2;140731;13;3;1;6;9;2;0;1;0;0.333333333;0.111111111;0.333333333;0
609;6;65;34;6;6;4;3;0;2;0;16;3;2;2;k;4;2;140802;11;4;2;2;3;2;0;0.5;0;0.5;0;0.333333333;0
610;1;571;40;3;9;4;14;1;4;2;15;0;4;1;4;1;d;140726;18;0;1;5;11;0.833333333;0;0;0.2;0.4;0.090909091;0.545454545;2.2
611;1;607;26;4;6;1;6;1;0;0;20;3;6;1;str;d;k;140722;22;d;2;7;9;3.5;0;0;0;0;0.111111111;0.111111111;0
612;47;24;13;6;5;1;6;4;2;0;7;2;3;1;1;1;1;140729;15;1;1;3;6;1;1;1;1;1;0.666666667;1;1.5
613;0;999;25;1;2;5;13;1;1;3;10;0;1;2;0;0;5;140804;9;0;1;3;9;0.5;0;0;0;0;0.111111111;0.333333333;0
614;0;999;89;7;9;4;9;1;1;1;10;1;0;1;0;0;0;140725;19;0;1;4;8;1;0;0;0;0.25;0.125;0.375;0
615;5;161;9;0;1;1;9;0;1;1;0;0;0;0;4;0;6;140722;22;2;1;4;10;0.666666667;0;0;0;0.25;0;0.2;0
616;2;345;5;1;0;1;5;1;0;1;0;0;0;0;5;d;3;140801;12;3;2;6;6;0;0;0.5;0.166666667;0.333333333;0.166666667;0.333333333;1
617;21;42;3;2;0;0;3;2;0;0;0;0;0;0;1;1;0;140521;84;0;0;1;3;0.5;0;0;0;0;0.666666667;0.666666667;0
618;13;42;3;1;1;1;3;1;1;1;0;0;0;0;2;3;1;140801;12;0;1;3;4;3;1;1;0.333333333;1;0.25;0.75;1.333333333
619;1;718;7;1;3;0;4;0;2;0;3;1;1;0;2;d;d;140523;82;8;0;1;4;0.333333333;0;0;0;0;0;0.5;0
620;0;999;14;1;1;0;9;1;0;0;5;0;1;0;6;0;1;140801;12;5;2;4;7;1.333333333;0.5;0.5;0.25;0.25;0.142857143;0.142857143;1.75
621;1;854;4;1;0;0;4;1;0;0;0;0;0;0;1;6;0;140806;7;6;2;5;5;0;0;0;0.2;0.2;0.2;0.2;1
622;1;288;5;0;2;0;5;0;2;0;0;0;0;0;4;5;0;140801;12;4;1;4;6;2;0;0;0;0.25;0;0.333333333;0
623;49;17;17;4;3;1;8;2;3;1;6;2;0;0;2;1;1;140725;19;1;3;4;8;1;0.666666667;1;0.5;1;0.25;0.75;2
624;8;96;18;2;5;3;15;2;5;3;2;0;0;0;2;3;1;140806;7;0;3;7;12;1.4;0.333333333;1;0.285714286;0.714285714;0.166666667;0.666666667;1.714285714
625;1;609;31;5;0;0;8;2;0;0;12;1;0;0;1;7;1;140713;31;d;0;5;9;1.25;0;0;0.4;0.4;0.222222222;0.222222222;1.8
626;8;96;8;2;3;1;6;2;1;1;2;0;2;0;3;1;0;140805;8;3;2;6;7;6;0.5;0.5;0.333333333;0.666666667;0.285714286;0.571428571;1.166666667
627;4;147;19;4;1;1;10;1;1;1;9;3;0;0;0;0;1;140725;19;6;1;4;8;1;1;1;0.25;0.5;0.125;0.25;2
628;2;388;7;2;1;1;3;0;1;0;4;2;0;1;6;2;4;140805;8;0;2;3;3;0;0;0.5;0;0.333333333;0;0.333333333;0
629;0;999;20;3;2;3;11;3;2;0;9;0;0;3;7;4;6;140729;15;4;1;5;10;1;0;0;0.2;0.2;0.3;0.5;0.666666667
630;10;74;15;4;1;0;6;3;0;0;9;1;1;0;5;0;1;140805;8;2;2;5;6;5;0.5;0.5;0.6;0.6;0.5;0.5;1.2
631;1;419;12;3;1;1;8;1;1;1;4;2;0;0;2;3;7;140724;20;5;1;6;8;3;0;0;0;0.333333333;0.125;0.375;0
632;0;999;22;2;6;4;9;1;4;0;12;1;2;4;0;1;2;140720;24;0;1;6;9;2;0;1;0.166666667;0.666666667;0.111111111;0.555555556;1.5
633;1;360;61;7;9;8;9;0;1;3;21;3;3;1;3;0;3;140805;8;0;2;4;7;1.333333333;0;0.5;0;0.75;0;0.428571429;0
634;0;835;55;8;11;5;12;1;3;1;19;2;3;1;2;0;4;140805;8;4;1;5;10;1;0;0;0.2;0.4;0.1;0.4;2
635;12;60;22;8;2;2;5;0;1;0;12;6;1;2;6;0;2;140801;12;5;1;2;5;0.666666667;0;1;0;0.5;0;0.2;0
636;57;15;31;6;3;3;8;3;0;1;13;1;2;2;0;1;3;140801;12;0;2;6;8;3;0.5;1;0.5;0.666666667;0.375;0.5;1.333333333
637;2;494;64;10;5;6;9;1;2;1;14;2;0;2;0;4;2;140801;12;1;2;6;9;2;0;0.5;0;0.166666667;0.111111111;0.444444444;0
638;16;55;36;9;7;3;7;3;0;0;16;1;4;1;1;1;6;140719;25;0;1;3;5;1.5;0;0;0.666666667;0.666666667;0.4;0.4;1.666666667
639;0;999;77;7;6;11;0;0;0;0;12;1;1;3;1;7;0;131030;287;0;0;0;0;0;0;0;0;0;0;0;0
640;2;219;27;4;3;7;14;3;2;2;13;1;1;5;2;0;d;140726;18;3;1;5;12;0.714285714;0;0;0.2;0.4;0.25;0.5;0.8
641;7;77;29;7;5;3;12;4;2;1;14;3;2;1;0;0;2;140730;14;0;1;5;12;0.714285714;0;1;0.2;0.6;0.333333333;0.583333333;0.6
642;1;414;29;3;5;2;7;0;2;0;11;1;2;2;6;2;2;140725;19;2;1;5;8;1.666666667;0;1;0;0.4;0;0.25;0
643;0;999;48;4;4;7;15;2;1;1;9;1;0;0;3;4;d;140806;7;0;2;8;14;1.333333333;0;0;0.125;0.375;0.071428571;0.214285714;1.75
644;0;999;47;5;9;5;12;1;3;2;23;2;5;2;0;0;1;140805;8;6;2;4;10;0.666666667;0.5;0.5;0.25;0.25;0.1;0.4;2.5
645;24;41;62;13;7;10;13;6;0;3;17;2;4;2;str;1;0;140729;15;d;1;5;12;0.714285714;0;0;0.4;0.6;0.5;0.666666667;0.8
646;4;193;63;6;2;5;5;2;0;0;10;0;0;0;0;4;0;140612;62;0;0;2;5;0.666666667;0;0;0;0;0.4;0.4;0
647;18;39;23;9;5;2;5;2;1;0;12;5;3;1;2;4;4;140618;56;0;0;2;5;0.666666667;0;0;0;0;0.2;0.4;0
648;7;108;58;18;5;11;12;3;0;3;17;4;3;2;0;0;3;140805;8;6;1;6;9;2;0;1;0;0.333333333;0.111111111;0.333333333;0
649;22;40;47;15;6;4;4;1;1;0;17;6;0;3;6;2;1;140724;20;2;1;2;4;1;1;1;0.5;1;0.25;0.5;2
650;2;577;55;6;9;4;12;1;2;2;19;2;5;1;0;str;4;140805;8;d;2;6;11;1.2;0;0;0.166666667;0.166666667;0.090909091;0.454545455;1.833333333
651;12;43;24;5;5;1;8;1;1;0;16;4;4;1;5;0;1;140730;14;1;1;5;8;1.666666667;1;1;0.2;0.4;0.125;0.25;1.6
652;3;334;55;5;7;9;17;0;1;2;21;4;2;5;3;4;6;140730;14;0;2;5;13;0.625;0;0;0;0.2;0;0.230769231;0
653;1;802;50;11;2;2;8;1;1;1;8;2;1;0;6;1;3;140728;16;d;2;2;5;0.666666667;0.5;1;0.5;1;0.2;0.6;2.5
654;1;546;52;5;5;6;11;1;1;2;20;1;1;1;7;5;5;140719;25;0;1;2;3;2;0;0;0;0;0;0;0
655;3;236;38;9;5;4;6;1;0;1;11;3;2;1;0;1;6;140720;24;0;1;4;7;1.333333333;0;0;0.25;0.25;0.142857143;0.285714286;1.75
656;19;37;37;11;2;4;9;3;0;2;17;5;1;0;1;0;1;140724;20;6;1;5;9;1.25;1;1;0.6;0.8;0.333333333;0.555555556;1.8
657;28;36;18;8;2;1;5;2;0;1;4;2;0;0;1;6;3;140731;13;0;1;4;6;2;0;1;0.5;0.75;0.333333333;0.5;1.5
658;8;122;19;5;2;3;8;2;1;0;11;3;1;3;1;d;5;140806;7;2;2;4;8;1;0;0;0.25;0.25;0.25;0.375;1
659;2;259;22;1;1;5;8;0;0;1;14;1;1;4;3;6;0;140806;7;5;1;5;8;1.666666667;0;0;0;0.2;0;0.125;0
660;1;671;18;3;2;2;6;0;1;0;7;2;0;1;2;d;0;140711;33;0;0;4;6;2;0;0;0;0.25;0;0.166666667;0
661;24;31;25;5;7;3;11;2;4;1;7;0;2;2;str;0;2;140806;7;4;1;4;9;0.8;0;1;0;0.25;0.222222222;0.555555556;0
662;3;220;28;7;2;5;8;1;1;2;6;1;1;1;6;3;2;140730;14;3;2;5;7;2.5;0;1;0;0.4;0.142857143;0.428571429;0
663;9;87;33;9;2;3;8;2;0;1;12;3;1;2;4;1;d;140726;18;1;2;3;6;1;0.5;0.5;0.333333333;0.333333333;0.333333333;0.333333333;1
664;10;50;35;6;6;4;4;0;2;0;16;3;2;2;4;2;4;140813;14;3;2;3;3;0;0;0.5;0;0.333333333;0;0.333333333;0
665;7;130;30;3;7;1;8;0;1;0;15;3;3;1;5;d;2;140815;12;d;1;2;7;0.4;0;1;0;0.5;0;0.142857143;0
666;0;999;86;5;6;9;15;0;1;4;27;2;3;2;7;3;3;140812;15;0;2;6;12;1;0;1;0;0.666666667;0;0.416666667;0
667;2;367;27;6;4;4;9;2;1;1;14;3;2;3;1;4;2;140807;20;0;1;3;5;1.5;0;1;0.333333333;0.666666667;0.2;0.4;1.666666667
668;0;999;39;4;7;6;14;0;3;2;11;2;1;3;2;4;4;140815;12;4;2;7;12;1.4;0;0;0;0.285714286;0;0.25;0
669;10;107;15;5;4;1;5;0;2;0;9;4;2;1;2;4;2;140816;11;5;1;3;4;3;0;1;0;0.666666667;0;0.5;0
670;0;999;49;3;5;4;11;1;2;1;13;1;2;0;2;0;0;140811;16;0;1;5;8;1.666666667;0;0;0;0.4;0.125;0.5;0
671;0;935;56;7;5;4;9;1;1;1;6;0;1;0;str;4;0;140731;27;6;1;2;9;0.285714286;0;0;0;0;0.111111111;0.333333333;0
672;17;52;58;11;8;5;7;1;1;0;19;4;1;3;5;2;d;140730;28;2;1;3;6;1;0;0;0;0.333333333;0.166666667;0.333333333;0
673;50;16;52;9;10;8;10;5;2;2;2;0;0;0;1;1;2;140816;11;1;2;6;11;1.2;0.5;1;0.5;1;0.454545455;0.818181818;1.1
674;13;34;31;7;4;5;10;0;2;2;11;2;0;1;0;0;0;140816;11;5;2;5;10;1;0;0;0;0.4;0;0.4;0
675;1;999;62;20;8;6;11;0;1;0;18;5;2;2;0;6;0;140820;7;1;1;3;8;0.6;0;0;0;0;0;0;0
676;1;656;83;6;16;7;4;0;0;0;24;2;5;1;0;0;5;140808;19;0;2;2;3;2;0;0;0;0;0;0;0
677;38;34;37;19;4;3;6;2;0;0;0;0;0;0;d;1;4;140809;18;3;2;5;7;2.5;0.5;0.5;0.4;0.4;0.285714286;0.285714286;1.4
678;13;91;40;10;6;6;11;2;0;3;9;2;0;1;d;d;3;140812;15;d;1;2;6;0.5;0;1;0;0.5;0;0.333333333;0
679;21;27;22;10;4;1;4;1;1;0;14;7;3;1;1;2;5;140806;21;2;1;3;5;1.5;0;0;0.333333333;0.666666667;0.2;0.4;1.666666667
680;1;999;30;15;4;2;3;0;0;0;12;4;2;1;0;5;0;140812;15;6;2;3;3;0;0;0;0;0;0;0;0
681;1;721;44;7;6;2;8;0;0;0;23;4;4;2;0;0;0;140820;7;0;3;7;8;7;0;0;0;0;0;0;0
682;10;58;14;3;2;2;6;0;0;1;8;3;2;1;0;3;4;140811;16;3;2;3;6;1;0;0.5;0;0.333333333;0;0.166666667;0
683;1;460;8;2;0;1;8;2;0;1;0;0;0;0;5;0;4;140730;28;0;1;4;8;1;0;0;0;0;0.25;0.375;0
684;0;758;10;1;1;2;8;0;0;2;2;1;1;0;d;3;4;140815;12;0;2;5;8;1.666666667;0;0.5;0;0.4;0;0.25;0
685;3;167;5;1;1;1;5;1;1;1;0;0;0;0;0;3;2;140806;21;4;1;5;6;5;0;1;0.2;0.6;0.166666667;0.5;1.2
686;0;999;12;0;1;0;7;0;0;0;5;0;1;0;0;0;6;140819;8;0;2;5;7;2.5;0;0;0;0;0;0;0
687;15;51;7;1;4;0;7;1;4;0;0;0;0;0;2;2;1;140807;20;1;1;5;7;2.5;1;1;0.2;1;0.142857143;0.714285714;1.4
688;0;410;8;0;3;1;1;0;0;0;7;0;3;1;2;0;8;140814;13;6;1;1;1;0;0;0;0;0;0;0;0
689;1;609;5;1;1;1;5;1;1;1;0;0;0;0;2;d;3;140814;13;5;1;4;6;2;0;1;0.25;0.75;0.166666667;0.5;1.5
690;0;971;10;1;0;0;6;0;0;0;4;1;0;0;0;5;5;140811;16;0;1;6;7;6;0;0;0;0;0;0;0
691;1;999;5;0;1;1;5;0;1;1;0;0;0;0;5;0;2;140810;17;0;1;5;6;5;0;1;0;0.4;0;0.333333333;0
692;15;50;5;2;2;0;5;2;2;0;0;0;0;0;0;2;1;140806;21;4;1;3;5;1.5;1;1;0.333333333;0.666666667;0.4;0.8;0.833333333
693;2;510;8;3;0;0;8;3;0;0;0;0;0;0;1;1;6;140806;21;0;1;5;8;1.666666667;0;0;0.4;0.4;0.375;0.375;1.066666667
694;41;17;8;4;0;1;8;4;0;1;0;0;0;0;3;1;d;140730;28;1;1;5;9;1.25;0;0;0.6;0.8;0.444444444;0.555555556;1.35
695;4;177;10;1;1;2;9;1;1;2;1;0;0;0;2;5;0;140710;48;5;0;3;8;0.6;0;0;0;0.333333333;0.125;0.375;0
696;1;974;7;2;0;1;7;2;0;1;0;0;0;0;1;5;5;140816;11;0;2;4;8;1;0;0;0.25;0.25;0.25;0.375;1
697;4;193;6;3;1;0;6;3;1;0;0;0;0;0;2;6;1;140815;12;0;1;4;7;1.333333333;1;1;0.5;0.75;0.428571429;0.571428571;1.166666667
698;4;327;8;1;2;0;8;1;2;0;0;0;0;0;4;d;2;140814;13;2;2;7;9;3.5;0;0.5;0.142857143;0.285714286;0.111111111;0.333333333;1.285714286
699;1;818;4;0;1;1;4;0;1;1;0;0;0;0;3;5;4;140806;21;0;1;3;5;1.5;0;0;0;0.333333333;0;0.4;0
700;14;53;6;3;0;0;6;3;0;0;0;0;0;0;d;1;1;140814;13;3;2;5;8;1.666666667;1;1;0.6;0.6;0.375;0.375;1.6
701;12;91;4;3;0;0;4;3;0;0;0;0;0;0;d;1;1;140815;12;6;2;4;5;4;1;1;0.75;0.75;0.6;0.6;1.25
702;1;557;12;1;1;1;8;1;1;1;4;0;0;0;5;0;3;140816;11;0;2;4;8;1;0;0.5;0;0.25;0.125;0.375;0
703;3;192;5;0;2;2;5;0;2;2;0;0;0;0;8;3;2;140815;12;4;1;4;6;2;0;1;0;0.75;0;0.666666667;0
704;0;999;18;1;3;3;12;0;2;3;6;1;1;0;3;5;5;140807;20;0;2;6;11;1.2;0;0;0;0.333333333;0;0.363636364;0
705;51;15;7;3;3;0;7;3;3;0;0;0;0;0;1;5;1;140731;27;2;1;5;8;1.666666667;1;1;0.4;0.8;0.375;0.75;1.066666667
706;1;869;7;0;2;0;7;0;2;0;0;0;0;0;6;0;5;140815;12;d;1;3;7;0.75;0;0;0;0;0;0.285714286;0
707;7;103;6;2;2;0;3;2;1;0;3;0;1;0;1;1;2;140816;11;1;2;3;3;0;0.5;1;0.666666667;1;0.666666667;1;1
708;10;148;8;4;1;0;8;4;1;0;0;0;0;0;2;1;4;140729;29;3;1;4;8;1;0;0;0.5;0.75;0.5;0.625;1
709;17;42;10;3;2;1;8;2;2;0;2;1;0;1;5;4;2;140730;28;0;1;3;8;0.6;0;1;0;0.333333333;0.25;0.5;0
710;0;999;8;1;1;3;8;1;1;3;0;0;0;0;2;7;7;140817;10;6;1;3;8;0.6;0;0;0;0.333333333;0.125;0.625;0
711;13;62;13;1;6;0;8;0;4;0;5;1;2;0;5;2;0;140811;16;1;1;5;8;1.666666667;0;0;0;0.4;0;0.5;0
712;0;784;13;0;1;2;5;0;0;0;8;0;1;2;4;4;5;140409;140;4;0;0;2;0;0;0;0;0;0;0;0
713;54;13;9;4;1;2;9;4;1;2;0;0;0;0;d;1;3;140628;60;5;0;2;7;0.4;0;0;0.5;1;0.428571429;0.714285714;1.166666667
714;7;213;10;2;0;1;5;1;0;1;5;1;0;0;str;0;str;140811;16;3;1;2;5;0.666666667;0;0;0;0;0.2;0.2;0
715;8;171;8;1;1;1;8;1;1;1;0;0;0;0;3;2;1;140806;21;0;1;4;8;1;1;1;0.25;0.75;0.125;0.375;2
716;5;185;3;1;0;0;3;1;0;0;0;0;0;0;1;5;4;140804;23;0;1;3;4;3;0;0;0.333333333;0.333333333;0.25;0.25;1.333333333
717;7;108;10;1;2;2;7;1;2;1;3;0;0;1;0;0;2;140806;21;0;1;3;7;0.75;0;1;0;0.333333333;0.142857143;0.571428571;0
718;2;292;15;0;2;1;11;0;2;1;4;0;0;0;0;2;3;140806;21;2;2;6;12;1;0;1;0;0.333333333;0;0.25;0
719;4;210;10;2;3;1;5;0;2;1;5;2;1;0;2;3;4;140615;73;6;0;2;5;0.666666667;0;0;0;0.5;0;0.6;0
720;0;999;21;0;0;2;14;0;0;1;7;0;0;1;0;3;8;140817;10;d;2;6;11;1.2;0;0.5;0;0.166666667;0;0.090909091;0
